sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-7,RADDL4B-23-069,RADDL4B-23-069,1,16 Sep 2024,Brain,None,Philippines,positive,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode59,pass,76102,74689,2976.240194,2154.404792,2835.5,0,9213,11896,11888,11886,11884,11798
M-70,RADDL4B-24-058,RADDL4B-24-058,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode86,pass,7094,6767,459.9694938,290.5523318,415,0,1630,11896,11893,11683,11451,11594
M-71,RADDL4B-24-059,RADDL4B-24-059_1,1,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run7,16 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode53,fail,89265,87344,4905.935216,2113.679774,4648.5,0,11650,11901,11898,11894,11885,11797
M-71,RADDL4B-24-059,RADDL4B-24-059_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode87,pass,12842,12080,535.1782601,535.7620785,323,0,3157,11893,11893,11884,10952,11798
M-74,RADDL4B-24-062,RADDL4B-24-062,1,4 Oct 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run9,22 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode32,pass,10896,9859,535.2420382,374.0097539,367,0,1566,11894,11885,11677,11463,11593
M-75,RADDL4B-24-067,RADDL4B-24-067_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode29,fail,56875,54935,1884.629232,1687.30617,1616.5,0,8855,11886,11655,11532,10804,11398
M-75,RADDL4B-24-067,RADDL4B-24-067_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode88,pass,16986,16031,619.2675159,561.7588386,364,0,2882,11902,11894,11886,11490,11803
M-77,RADDL4B-24-069,RADDL4B-24-069,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode30,fail,69520,67911,2890.806571,1618.001143,2635.5,0,8183,11890,11886,11682,11519,11598
M-78,RADDL4B-24-070,RADDL4B-24-070_1,1,18 Sep 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run6,3 Oct 2024,Philippines,Nanopore,Minion,FAS97207,Amplicon,barcode31,fail,53707,51940,2242.91351,1261.409134,2000.5,0,6574,11884,11682,11682,11516,11601
M-78,RADDL4B-24-070,RADDL4B-24-070_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode89,pass,9958,9171,508.6176668,373.7003573,401,0,2401,11894,11893,11885,11618,11792
